headline,description,link,source,original,related,date_published,date_modified,timezone,detailed_news,detailed_news_sentiment,detailed_news_score
The 2025 stock market rally is about more than just the 'Magnificent 7': Morning Brief,"After two years of few S&P 500 companies outperforming the index,  market participation is broadening in 2025.",https://finance.yahoo.com/news/the-2025-stock-market-rally-is-about-more-than-just-the-magnificent-7-morning-brief-100042029.html,,AAPL,"['PLTR', 'META']",2025-06-13 10:00:42+00:00,,,"This is The Takeaway from today's Morning Brief, which you cansign upto receive in your inbox every morning along with:
The chart of the day
What we're watching
What we're reading
Economic data releases and earnings
Nearly halfway through 2025, it's clear the stock market has a different character than in the past two years, in which it seemed the same story played out twice.
In 2023 and 2024, investorschampioned the rise of the ""Magnificent Seven"" tech stocks, leading to a historically low number of S&P 500 (^GSPC) constituents outperforming the broader index. This year, things are looking more normal relative to market history.
Through June 11, roughly 46% of companies in the benchmark index were sitting on year-to-date gains that topped the S&P 500's 2.6% gain.
Richard Bernstein Advisors CEO Richard Bernstein said in an interview this week that all investors should hope the broadening continues, because it means ""the health of the broader economy is improving.""
Across the S&P 500's 11 sectors, seven have outperformed the index this year, led by a more than 9% rise for Industrials (XLI) and a 7% pop for Utilities (XLU).
The Magnificent Seven tech stockshave contributed significantly to the market's most recent leg higher in the past month. But zoom out to the full year, and the cohort is a clear laggard.
Research from Exhibit A co-founder Matt Cerminaronotes that as of June 11, the Magnificent Seven index, which includes Apple (AAPL), Alphabet (GOOGL,GOOG), Microsoft (MSFT), Amazon (AMZN), Meta (META), Tesla (TSLA), and Nvidia (NVDA), has fallen 2.51% in 2025. By comparison, the other 493 stocks in the S&P 500 have risen 5.32%.
Aswe highlighted late last month, the current market backdrop has grown more favorable for stock pickers, with stocks beginning to move on their own accord —rather than in a large group depending on the president's Truth Social posts— as peak tariff uncertainty subsides.
AIremains a key theme for investorsin that environment, but not all of this year's biggest winners are tied to this transformative technology, another break from years past.
AI and defense darling Palantir (PLTR) is the year's biggest winner in the index, rising 80%. But the balance of the top 10 best-performing stocks flaunts a more diverse group, featuring energy names like NRG Energy (NRG), gold plays like Newmont (NEM), and discount retailer Dollar General (DG).
And while companies like GE Vernova (GEV) and CVS (CVS) might not light up the conversation at a cocktail party, Bernstein notes that this broader participation is likely a good sign for markets moving forward.",positive,1
Why Apple (AAPL) Dipped More Than Broader Market Today,"Apple (AAPL) reached $196.45 at the closing of the latest trading day, reflecting a -1.38% change compared to its last close.",https://finance.yahoo.com/news/why-apple-aapl-dipped-more-214502072.html,,AAPL,[],2025-06-13 21:45:02+00:00,,,"Apple (AAPL) closed at $196.45 in the latest trading session, marking a -1.38% move from the prior day. This move lagged the S&P 500's daily loss of 1.13%. At the same time, the Dow lost 1.79%, and the tech-heavy Nasdaq lost 1.3%.
The maker of iPhones, iPads and other products's shares have seen a decrease of 5.79% over the last month, not keeping up with the Computer and Technology sector's gain of 7.36% and the S&P 500's gain of 3.55%.
The investment community will be paying close attention to the earnings performance of Apple in its upcoming release. The company's upcoming EPS is projected at $1.41, signifying a 0.71% increase compared to the same quarter of the previous year. Simultaneously, our latest consensus estimate expects the revenue to be $88.31 billion, showing a 2.95% escalation compared to the year-ago quarter.
Regarding the entire year, the Zacks Consensus Estimates forecast earnings of $7.11 per share and revenue of $404.19 billion, indicating changes of +5.33% and +3.36%, respectively, compared to the previous year.
Any recent changes to analyst estimates for Apple should also be noted by investors. These revisions typically reflect the latest short-term business trends, which can change frequently. As a result, upbeat changes in estimates indicate analysts' favorable outlook on the business health and profitability.
Based on our research, we believe these estimate revisions are directly related to near-term stock moves. To take advantage of this, we've established the Zacks Rank, an exclusive model that considers these estimated changes and delivers an operational rating system.
The Zacks Rank system, which varies between #1 (Strong Buy) and #5 (Strong Sell), carries an impressive track record of exceeding expectations, confirmed by external audits, with stocks at #1 delivering an average annual return of +25% since 1988. Over the past month, the Zacks Consensus EPS estimate has moved 0.15% lower. Apple presently features a Zacks Rank of #3 (Hold).
In the context of valuation, Apple is at present trading with a Forward P/E ratio of 28. This represents a premium compared to its industry average Forward P/E of 11.06.
One should further note that AAPL currently holds a PEG ratio of 2.22. The PEG ratio is akin to the commonly utilized P/E ratio, but this measure also incorporates the company's anticipated earnings growth rate. By the end of yesterday's trading, the Computer - Micro Computers industry had an average PEG ratio of 1.48.
The Computer - Micro Computers industry is part of the Computer and Technology sector. This industry, currently bearing a Zacks Industry Rank of 95, finds itself in the top 39% echelons of all 250+ industries.",positive,1
Apple's $4.4B India Play: The Secret iPhone Shift That's Reshaping U.S. Supply Chains,"As Trump targets China, Apple quietly reroutes billions in iPhone exports through India--and it's just getting started",https://finance.yahoo.com/news/apples-4-4b-india-play-210646717.html,,AAPL,['HNHPF'],2025-06-13 21:06:46+00:00,,,"Apple (NASDAQ:AAPL) isrampingup its India productionand fast. From January through May 2025, Foxconn (FXCOF) shipped $4.4 billion worth of India-assembled iPhones to the U.S., already beating 2024's full-year total of $3.7 billion. Between March and May, a staggering 97% of Foxconn's $3.2 billion exports went straight to the U.S., compared to just 50% last year. The push isn't subtle: Apple has been flying out iPhone 13, 14, 16, and 16e models on chartered planes and pressing Indian officials to cut customs clearance at Chennai airport from 30 hours down to six.
Warning! GuruFocus has detected 6 Warning Sign with MSFT.
This shift comes as Apple looks to de-risk from China ahead of what could be another round of sweeping tariffs. Donald Trump has floated a 55% duty on Chinese goods and slammed Apple's expansion into India, reportedly telling CEO Tim Cook, We are not interested in you building in India. India, meanwhile, is trying to dodge a separate 26% reciprocal tariff on top of its standard 10%. With the stakes this high, Apple's move to reroute its supply chain through India could be less about costand more about survival. It's also about time. Apple still sells 60 million iPhones a year in the U.S., with about 80% made in China.
Tata Electronics, Apple's smaller Indian partner, is also stepping up. Nearly 86% of its March and April shipments went to the U.S., up from 52% across 2024. Analysts at Counterpoint Research believe India-made iPhones could hit 2530% of Apple's global shipments this yearup from just 18% in 2024. But India's still an expensive bet. High import duties on components make local assembly far from cheap. Still, Apple appears willing to absorb the extra costs in exchange for agility. The numbers suggest this isn't a trial run. It's a full pivot.
This article first appeared onGuruFocus.",neutral,0
Spotify Widens Lead As Go-To Music App,A new survey shows that Spotify is widening its lead as the preferred music streaming app among consumers in the U.S. and U.K.,https://finance.yahoo.com/m/b3ed6cb4-3a8a-3caf-ae21-6d04bbc2e6cd/spotify-widens-lead-as-go-to.html,,AAPL,"['SPOT', 'GOOG']",2025-06-13 20:39:49+00:00,,,A new survey shows that Spotify is widening its lead as the preferred music streaming app among consumers in the U.S. and U.K.,positive,1
Trump Seeks to Register His Name for Mobile Phone Service,"(Bloomberg) -- DTTM Operations LLC, the entity that manages trademarks on behalf of President Donald Trump, has applied to use his name and the term T1 for telecom services.Most Read from BloombergShuttered NY College Has Alumni Fighting Over Its FutureTrump’s Military Parade Has Washington Bracing for Tanks and WeaponryNYC Renters Brace for Price Hikes After Broker-Fee BanDo World’s Fairs Still Matter?As Part of a $45 Billion Push, ICE Prepares for a Vast Expansion of Detention SpaceThe request",https://finance.yahoo.com/news/trump-seeks-register-name-mobile-181752123.html,,AAPL,"['T', 'T-PA', 'VZ']",2025-06-13 18:17:52+00:00,,,"(Bloomberg) -- DTTM Operations LLC, the entity that manages trademarks on behalf of President Donald Trump, has applied to use his name and the term T1 for telecom services.
Most Read from Bloomberg
Shuttered NY College Has Alumni Fighting Over Its Future
Trump’s Military Parade Has Washington Bracing for Tanks and Weaponry
NYC Renters Brace for Price Hikes After Broker-Fee Ban
Do World’s Fairs Still Matter?
As Part of a $45 Billion Push, ICE Prepares for a Vast Expansion of Detention Space
The requests cover mobile phones, cases, battery chargers and wireless telephone services, as well as potentially retail stores. The applications with the US Patent and Trademark Office were filed on Thursday, according to a public database.
A spokesperson for the Trump Organization didn’t immediately respond to a request for comment.
“While a trademark filing doesn’t guarantee a product launch, the specificity of the applications points to serious consideration,” Josh Gerben, a trademark attorney and founder of Gerben IP law firm, wrote in a blog post on Friday.
The filings suggest plans could be in the works for a Trump-branded mobile phone or service to compete with Verizon Communications Inc., AT&T Inc. and T-Mobile US Inc., Gerben wrote.
“It would mark a significant expansion for Trump’s private business, which has historically focused on real estate, hospitality, and branded merchandise,” he said.
Most Read from Bloomberg Businessweek
American Mid: Hampton Inn’s Good-Enough Formula for World Domination
The Spying Scandal Rocking the World of HR Software
New Grads Join Worst Entry-Level Job Market in Years
As Companies Abandon Climate Pledges, Is There a Silver Lining?
US Tariffs Threaten to Derail Vietnam’s Historic Industrial Boom
©2025 Bloomberg L.P.",neutral,0
Apple’s Liquid Glass design is paving the way for AR glasses,"This visual overhaul gives us a glimpse into the design of Apple's rumored AR glasses, which will reportedly debut next year.",https://finance.yahoo.com/news/apple-liquid-glass-design-paving-180015528.html,,AAPL,[],2025-06-13 18:00:15+00:00,,,"At Apple’sWWDC 2025event, the company announced its most dramatic software design change in over a decade:Liquid Glass.This visual overhaul gives us a glimpse into what might be coming in Apple’srumored AR glasses, which will reportedly debutnext year.
Users are connecting Liquid Glass to potential AR glasses because the new design draws strong inspiration from that ofApple’s Vision Pro VR headset.
Liquid Glass is named with the idea that each window on a phone is like a pane of glass, see-through and somewhat reflective. It gives the screen a sleeker look, though in its developer beta, Apple hasn’t quiteworked out the kinksof playing with opacity.
The Vision Pro wasn’t much of a commercial success — it cost $3,500, and unlike a computer, it isn’t something that has proven essential for our lives. But nonetheless, the UX design of the Vision Pro is impressive because it makes wearing a headset feel a bit less disorienting.
It can feel unnatural to be so immersed in virtual reality for an extended period of time, so Apple took advantage of its mixed reality capabilities by overlaying windows atop a user’s real-world surroundings, rather than a synthetic background.
Apple may not be able to convince people that they need a $3,500 headset, but to keep up with competitors like Meta’sRay-Bansand Google’srenewed attemptat smart glasses, Apple needs to enter the arena of this lighter hardware. And one of Apple’s strengths as a company — something that sets it apart from Meta and Google — is that it’s known for elegant, modern designs (except for “the notch“).
According to reports from Bloomberg’sMark Gurman, these glasses would have cameras, microphones, and speakers like its competitors. Siri — which is still awaitingits own makeover— would be built-in, and could assist with taking phone calls, playing music,live translation, and turn-by-turn directions. On a display, users would be able to see notifications, pictures, and other overlays.
If that’s the case, then Apple will need to master the style of these somewhat transparent design elements. If you’re wearing AR glasses and get some form of notification, you’d probably rather see that as something that blends into your surroundings, and not some giant colorful box that suddenly obscures your vision while you’re walking around.
We don’t know much about the rumored Apple AR glasses yet, but we’d be willing to bet we’ll see Liquid Glass in them.",neutral,0
Apple (NasdaqGS:AAPL) Faces Antitrust Lawsuit Over Wi-Fi Calling Practices,"Apple (NasdaqGS:AAPL) recently faced a legal challenge from VoIP-Pal.com Inc., which initiated an antitrust lawsuit involving Apple and other tech giants. The lawsuit, targeting their alleged suppression of lawful competition in standalone Wi-Fi Calling, comes amidst Apple's introduction of several updates across its product lines, including significant enhancements in iPadOS, iOS, and macOS. Despite these developments, Apple's share price moved by a modest 2% last week. This reflects the...",https://finance.yahoo.com/news/apple-nasdaqgs-aapl-faces-antitrust-171751979.html,,AAPL,[],2025-06-13 17:17:51+00:00,,,"Applerecently faced a legal challenge from VoIP-Pal.com Inc., which initiated an antitrust lawsuit involving Apple and other tech giants. The lawsuit, targeting their alleged suppression of lawful competition in standalone Wi-Fi Calling, comes amidst Apple's introduction of several updates across its product lines, including significant enhancements in iPadOS, iOS, and macOS. Despite these developments, Apple's share price moved by a modest 2% last week. This reflects the broader market dynamics, including the Dow's significant decline due to geopolitical tensions, demonstrating that Apple's movement aligns with wider market trends rather than being solely driven by company-specific events.
Be aware that Apple is showing 1 possible red flag in our investment analysis.
Find companies with promising cash flow potential yet trading below their fair value.
Apple’s recent legal challenge from VoIP-Pal.com Inc. could impact its operational focus and financial metrics. While the lawsuit's direct effects are yet to be fully realized, it might introduce legal costs and potential changes in business practices that could affect revenue and earnings forecasts. Specifically, if Apple were to face adverse rulings, it may have to adjust its business practices or pricing, potentially impacting service revenue streams. The market's reaction, with only a modest share price movement, suggests that the impact might not be deemed significant unless more developments arise.
Over a longer five-year period, Apple has delivered a total return of 134.39%, significantly rewarding its shareholders. This context highlights a strong performance, even if, in the last year, the stock underperformed the US market, which returned 11.7%. This discrepancy raises questions about recent pressures on the stock compared to broader market dynamics.
The current share price movement should also be evaluated in light of analyst price targets, which are approximately 14.5% higher than the present value. This discount signals that analysts might expect Apple to navigate current challenges and achieve its growth targets. Such a target anticipates that planned U.S. facility expansions and new product launches, such as the iPhone 16e, will drive revenue and earnings growth. However, the broader macroeconomic conditions and legal outcomes are potential uncertainties.
Evaluate Apple's historical performance by accessing our past performance report.
This article by Simply Wall St is general in nature.We provide commentary based on historical data and analyst forecasts only using an unbiased methodology and our articles are not intended to be financial advice.It does not constitute a recommendation to buy or sell any stock, and does not take account of your objectives, or your financial situation. We aim to bring you long-term focused analysis driven by fundamental data. Note that our analysis may not factor in the latest price-sensitive company announcements or qualitative material. Simply Wall St has no position in any stocks mentioned.",neutral,0
Apple stock could catch a short-term bid with cheap valuation: Morgan Stanley,"Investing.com -- Apple shares may benefit from short-term upside as deep discounting in China fuels stronger-than-expected iPhone and iPad sales, according to Morgan Stanley.",https://finance.yahoo.com/news/apple-stock-could-catch-short-171251954.html,,AAPL,[],2025-06-13 17:12:51+00:00,,,"Investing.com -- Apple shares may benefit from short-term upside as deep discounting in China fuels stronger-than-expected iPhone and iPad sales, according to Morgan Stanley.
“iPhone and iPad sell-through in China are positively surprising this quarter thanks to 618 Festival promotion momentum,” Morgan Stanley analysts wrote, adding that the trend suggests “up to $4B June revenue upside vs. MSe, all else equal.”
“Specifically, we now see ~3.0M units of upside to our June quarter iPhone shipments and ~2.5M units of upside to our June quarter iPad shipments,” the bank stated.
China’s 618 Festival promotions and national subsidies are said to have been key drivers, leading to “very strong” iPhone sell-through for three consecutive weeks.
The bank’s Greater China Tech Hardware team now estimates 46.5 million iPhone builds and 14.5 million iPad builds in the June quarter, representing year-over-year growth of 19% and 38%, respectively.
That’s up from prior estimates of 45 million iPhones and 13 million iPads.
Using historical seasonal relationships between builds and shipments, Morgan Stanley projects iPhone shipments to hit 49 million, which is “7% above MSe of 46.0M units, and 8% above Consensus at 45.2M.”
For iPads, they now see 14.7 million shipments, “20% above MSe of 12.3M units, and 12% above Consensus.”
While near-term Services growth uncertainty remains a concern for investors, Morgan Stanley stated: “Estimate upside is typically accompanied by multiple expansion, so watch for Apple (NASDAQ:AAPL) to potentially catch a short-term bid given the stock is trading towards the lower-end of its 24-32x P/E range over the last 2 years.”
Related articles
Apple stock could catch a short-term bid with cheap valuation: Morgan Stanley
Air India 787-8 accident - What we know so far
Brookfield Infrastructure reportedly acquiring Hotwire for $7 billion",positive,1
Apple (AAPL) Risks Falling Behind as WWDC's AI Reveal Disappoints,WWDC Leaves Apple's AI Prospects in Question Amid Fierce Competition,https://finance.yahoo.com/news/apple-aapl-risks-falling-behind-164211554.html,,AAPL,[],2025-06-13 16:42:11+00:00,,,"June 13- Apple (NASDAQ:AAPL) may risk falling behind in AI after a mutedshowingat WWDC, according to analysts. Investor reaction was tepid, with sharesdippingmodestly last week as expectations around Apple Intelligence went unmet.
Unlike peers such as Tesla (NASDAQ:TSLA), Meta Platforms (NASDAQ:META), Amazon (NASDAQ:AMZN) and Google (GOOG), Apple has not signalled large-scale AI infrastructure investments. The recent iPhone upgrade cycle appears subdued: iPhone revenue was about $46.8 billion in the latest quarter, roughly 2% higher year on year, suggesting limited upside from incremental AI features.
Apple's Services segment faces fresh headwinds after losing an appeal in the Epic Games App Store case, which may pressure commission revenues. Wearables also saw softer growth despite Vision Pro contributions, highlighting potential challenges in key growth areas.
Valuation remains rich: Apple trades at about 27.6 times expected earnings for the current fiscal year and around 25.3 times for next year, while peers carry lower multiples with stronger EPS momentum. Buybacks may have less impact at these levels.
Investors are likely to monitor whether Apple ramps AI spending to catch up or relies on its ecosystem to monetize future services. With other big tech doubling down on AI, Apple's ability to pivot may be critical for sustaining growth and justifying its premium valuation.
This article first appeared onGuruFocus.",negative,-1
Is Roku's Strategy for Devices Segment Holding Back Its Profitability?,"ROKU's Devices arm fuels user growth but drags on margins, despite strong unit sales and strategic importance.",https://finance.yahoo.com/news/rokus-strategy-devices-segment-holding-162700306.html,,AAPL,['AMZN'],2025-06-13 16:27:00+00:00,,,"Roku’s ROKU Devices segment remains a challenging part of the business, acting more as a strategic tool to grow its user base than as a source of profitability. While devices are essential for expanding Roku-powered households, the segment continues to face financial strain, with persistent losses and margin pressure. Roku maintains that its priority is growing its streaming footprint, even at the cost of short-term Devices profits.These trends are expected to continue. For the second quarter of 2025, Roku projects Devices revenues to decline around 10% year over year, with margins staying negative. To manage macro and tariff-related risks, the company is leaning on its diversified manufacturing and flexible pricing. The Zacks Consensus Estimate for Roku’s second quarter 2025 revenues of the Devices segment is pegged at $124.42 million and the estimate for the gross loss of the segment is pegged at $14.06 million.To improve brand appeal and deepen engagement, Roku recently launched a refreshed device lineup. The updated Roku-made TVs feature better picture and sound quality, faster app launches and deeper bass. The new Pro Series introduces QLED and Mini-LED technology, along with an upgraded Voice Remote Pro and software features like Smart Picture and personalized Backdrops.Despite similar efforts in the past, profitability remains elusive. In the first quarter of 2025, Devices revenues rose 11% year over year to $140 million (13.7% of total revenues), but the segment posted a gross loss of $19 million and a negative 14% margin due to lingering holiday promotions. While unit sales were strong, the Devices business continues to function as a long-term strategic lever rather than a near-term profit engine.
Several players are competing with Roku’s devices business, with companies likeAmazonAMZN andAppleAAPL offering alternative streaming hardware and expanding their user ecosystems.Amazon continues to expand its Fire TV lineup, combining affordability with Alexa integration to drive adoption. Amazon’s Fire TV devices remain a key part of its strategy to increase engagement within its content and services ecosystem.Apple’s premium Apple TV 4K appeals to users seeking a high-performance experience with seamless integration into the Apple ecosystem. Apple continues to attract loyal users through tight ecosystem linkages and exclusive content.
ROKU shares have gained 10.3% in the trailing three months, outperforming the Zacks Broadcast Radio and Television industry’s return of 22% but underperforming the Zacks Consumer Discretionary sector’s growth of 10.6%.",negative,-1
